,resto,review_rating,review_text,review_link,source
0,BOKAN 38 Bar & 39 Rooftop,2,This place has potential but it has one the most unwelcoming entrances when you come in from the outside. An unmanned dimly lit entrance. A lift up. Then nobody to help you to a seat or guide you and it even felt painful trying to get service once we sat at a table.,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r780355376-BOKAN_38_Bar_39_Rooftop-London_England.html,Tripadvisor
1,BOKAN 38 Bar & 39 Rooftop,5,"Wow, where do I start, we had the most amazing evening at Bokan, hosted by Florian who’s service was absolutely exceptional and rare to find these days. Best service I’ve had in years at any restaurant! Very attentive.",https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r778484738-BOKAN_38_Bar_39_Rooftop-London_England.html,Tripadvisor
2,BOKAN 38 Bar & 39 Rooftop,5,"Whenever you visit London, Canary Wharf, you just HAVE to go to Bokan Roofbar, have a beer, drink and a snack like I ALWAYS do when I’m in London!",https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r779207720-BOKAN_38_Bar_39_Rooftop-London_England.html,Tripadvisor
3,BOKAN 38 Bar & 39 Rooftop,5,"Terrific view, service & atmosphere. The restaurant (one floor lower) was fully booked - unsurprisingly for a Saturday evening - but the bar above has the same views. The service from Athina was great, really friendly, knowledgeable and attentive. The bar menu is obviously more limited than the restaurant but still reasonable . The charcuterie platter was good, fish & chips likewise, burger excellent. A really nice evening. We will be back!",https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r779128888-BOKAN_38_Bar_39_Rooftop-London_England.html,Tripadvisor
4,BOKAN 38 Bar & 39 Rooftop,2,"I am coming very often at Bokan with my friends and always had a great experience, nice cocktails and friendly staff. However yesterday evening we did face a different attitude from the bartender Martina which was very rude to us and did not prepare the cocktail that we have asked and when we asked her for the cocktail that we wanted she started to argue saying that this is the cocktail and even start to laugh with her colleague and talking about us. I was shocked that at Bokan they still have people with this kind of attitude that don’t even bother about the guest requests. Very unprofessional. Really hope the management will take further actions.",https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r745371622-BOKAN_38_Bar_39_Rooftop-London_England.html,Tripadvisor
5,BOKAN 38 Bar & 39 Rooftop,5,"I was reccomended this venue by a waiter in another restaurant, I was skeptic upon reading the reviews but I decided why not to give it a shot. I don't understand the negative reviews! The place gets pretty crowded but that's normal when the view and the cocktails are so great! I didn't have any food but upon prying from other tables it looked great. I guess I will have to go back for that :)",https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r728349677-BOKAN_38_Bar_39_Rooftop-London_England.html,Tripadvisor
6,BOKAN 38 Bar & 39 Rooftop,5,Perfect roof top bar in Canary Wharf for summer drinks and catching up. On occasion they have a live band which adds to the chilled out vibes!,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r730058592-BOKAN_38_Bar_39_Rooftop-London_England.html,Tripadvisor
7,BOKAN 38 Bar & 39 Rooftop,2,First waiting for a table at the entrance to see the staff letting others without reservation overtake us. Then at the table to waiter was so arrogant and rude that we simply left. Fantastic view though.,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r727959956-BOKAN_38_Bar_39_Rooftop-London_England.html,Tripadvisor
8,BOKAN 38 Bar & 39 Rooftop,1,Went for a drink at the bar but was ignored by staff. So I cannot comment on drinks or food. Restaurant might be nice but avoid the bar.,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r731258294-BOKAN_38_Bar_39_Rooftop-London_England.html,Tripadvisor
9,BOKAN 38 Bar & 39 Rooftop,5,"Me and my girlfriend went for couple of drinks to celebrate her b-day at Bokan bar 38. We been served by Martina, who recommend us very nice cocktail called 'old venues' which we really enjoyed and planning to come back to see amazing view from the bar and scenery of the river and city center. Truly recommended.",https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r731680592-BOKAN_38_Bar_39_Rooftop-London_England.html,Tripadvisor
